811593144,1828528105,174430355,305.29,5,B,8,0,0,0,0,F,T,0.0,53.0717800/8.8096400/|53.0718899/8.8093599/|53.0721400/8.8085900/|53.0722100/8.8082600/|53.0726200/8.8073400/|53.0727900/8.8069300/|53.0730699/8.8062700/|53.0731399/8.8062300/|53.0732900/8.8058800/,,
67948530,174362038,174951997,26.08,3,T,6,0,50,0,2,T,T,0.0,53.0719300/8.8098000/49.39|53.0720199/8.8094400/49.07,,0.00/-0.774|26.08/-0.587
51883890,174253872,174349297,60.57,3,T,6,0,50,0,2,T,T,0.0,53.0717199/8.8108900/49.91|53.0717971/8.8105083/49.92|53.0718800/8.8101000/49.67|53.0718899/8.8100300/49.61,26.94/0.000833|55.76/-0.000395,0.00/0.324|26.94/-0.245|55.76/-0.732|60.57/-0.780
51883883,174336687,174228546,65.06,3,T,6,0,50,0,0,F,T,0.0,53.0719899/8.8101100/|53.0721100/8.8105400/|53.0721700/8.8107300/|53.0722700/8.8109600/,,
51883880,174253872,174502603,21.35,3,T,6,0,50,0,0,F,T,0.0,53.0717199/8.8108900/|53.0718100/8.8107900/|53.0718899/8.8107499/,,
51883881,174502603,174489931,6.71,3,T,6,0,50,0,0,T,T,0.0,53.0718899/8.8107499/|53.0719499/8.8107399/,,
51883887,174349297,174502603,48.15,3,F,6,50,0,0,0,F,T,0.0,53.0718899/8.8100300/|53.0718899/8.8102300/|53.0718899/8.8104900/|53.0718899/8.8107499/,,
51867694,174390538,174328106,41.42,2,F,6,50,0,2,0,T,T,0.0,53.0478599/8.8190499/|53.0482100/8.8192600/,,
554728228,174947832,174368311,309.18,2,F,5,60,0,2,0,T,T,0.0,53.0483800/8.8192099/40.36|53.0485499/8.8186499/40.14|53.0486799/8.8181899/40.42|53.0488664/8.8175143/41.55|53.0489700/8.8171399/42.51|53.0490791/8.8167411/43.56|53.0495500/8.8150200/46.17,41.98/0.000132|75.99/0.000165|125.74/0.000109|153.31/0.000078|182.64/-0.000004,0.00/-0.689|41.98/0.116|75.99/0.799|125.74/1.825|153.31/2.081|182.64/1.957|309.18/0.506
554728229,174368311,174409397,103.51,2,F,6,50,0,2,0,T,T,0.0,53.0495500/8.8150200/46.17|53.0499700/8.8136399/46.53,,0.00/0.506|103.51/-0.035
51867645,174409397,174511122,92.19,2,F,6,50,0,2,0,T,T,0.0,53.0499700/8.8136399/46.53|53.0500700/8.8132900/46.51|53.0501899/8.8128900/46.47|53.0502800/8.8126099/46.42|53.0503100/8.8123899/46.38,25.93/0.000331|55.84/0.000461|77.09/0.000476,0.00/-0.035|25.93/-0.063|55.84/-0.104|77.09/-0.140|92.19/-0.168
